game_id,player_a_id,player_b_id,player_c_id,player_d_id,team_ab_goals,team_cd_goals,entry_time_in_edt
1,2,1,10,8,10,5,2014-06-20 04:39:37
2,10,1,8,2,10,8,2014-06-20 04:43:42
3,1,NULL,10,NULL,10,2,2014-06-20 08:53:11
4,13,12,2,1,10,5,2014-06-20 11:01:31
5,9,NULL,11,NULL,10,5,2014-06-22 22:32:49
6,11,NULL,9,NULL,10,9,2014-06-22 22:33:11
7,9,NULL,11,NULL,10,9,2014-06-22 22:33:19
8,11,NULL,9,NULL,10,6,2014-06-23 00:58:55
9,9,NULL,11,NULL,10,3,2014-06-23 00:59:04
10,11,NULL,9,NULL,10,3,2014-06-23 00:59:21
11,18,5,9,11,10,0,2014-06-23 03:17:47
12,18,5,9,11,10,4,2014-06-23 03:17:40
13,10,15,17,16,10,6,2014-06-23 02:44:03
14,10,NULL,2,NULL,10,1,2014-06-23 02:11:58
15,2,NULL,10,NULL,10,9,2014-06-23 02:11:47
16,11,NULL,9,NULL,10,5,2014-06-23 03:18:13
17,11,NULL,9,NULL,10,1,2014-06-23 03:18:20
18,1,NULL,2,NULL,10,6,2014-06-23 05:23:02
19,10,15,8,11,10,9,2014-06-24 00:25:20
20,17,16,10,15,10,9,2014-06-24 00:25:42
21,10,15,19,17,10,8,2014-06-24 23:18:53
22,10,15,19,17,10,7,2014-06-24 23:19:42
23,10,2,8,1,10,5,2014-06-25 01:20:30
24,10,2,8,1,10,6,2014-06-25 01:30:10
25,10,9,1,20,10,8,2014-06-25 02:13:32
26,10,NULL,2,NULL,10,9,2014-06-25 04:10:06
27,10,NULL,5,NULL,10,3,2014-06-25 04:36:11
28,10,NULL,5,NULL,10,3,2014-06-25 04:36:18
29,1,NULL,10,NULL,10,9,2014-06-25 05:19:10
30,1,NULL,3,NULL,10,6,2014-06-26 00:32:13
31,1,NULL,3,NULL,10,5,2014-06-26 00:32:54
32,10,5,13,1,10,2,2014-06-26 03:15:35
33,10,5,13,1,10,7,2014-06-26 03:15:47
34,10,5,13,1,10,2,2014-06-26 03:15:55
35,5,15,8,1,10,9,2014-06-26 04:32:16
36,8,1,5,15,10,5,2014-06-26 04:32:30
37,5,15,8,1,10,3,2014-06-26 04:33:22
38,5,15,10,8,10,5,2014-06-26 23:00:27
39,10,15,8,5,10,8,2014-06-26 23:00:54
40,10,5,8,15,10,0,2014-06-27 01:28:02
41,1,NULL,2,NULL,10,3,2014-06-27 03:39:46
42,1,NULL,2,NULL,10,9,2014-06-27 03:40:31
43,8,5,10,15,10,3,2014-06-27 05:28:25
44,10,NULL,2,NULL,10,1,2014-06-27 05:54:26
45,10,2,8,5,10,8,2014-06-27 05:54:50
46,15,9,8,1,10,5,2014-06-29 21:47:26
47,10,8,9,11,10,8,2014-06-30 01:32:34
48,8,5,10,15,10,8,2014-06-30 03:40:01
49,8,5,10,15,10,6,2014-06-30 03:40:07
50,1,NULL,11,NULL,10,8,2014-06-30 05:25:15
51,1,NULL,11,NULL,10,5,2014-06-30 05:25:44
52,1,NULL,2,NULL,10,5,2014-07-01 00:09:37
53,17,16,20,11,10,0,2014-07-01 01:51:43
54,10,15,17,16,10,7,2014-07-01 01:52:06
55,10,15,17,16,10,7,2014-07-01 01:52:09
56,2,1,8,5,10,3,2014-07-01 02:40:46
57,2,1,8,5,10,4,2014-07-01 02:41:01
58,1,NULL,5,NULL,10,7,2014-07-01 02:41:43
59,1,NULL,10,NULL,10,4,2014-07-01 04:04:47
60,10,NULL,1,NULL,10,9,2014-07-01 04:04:58
61,8,5,10,15,10,6,2014-07-01 23:03:31
62,8,5,10,15,10,7,2014-07-01 23:03:40
63,1,NULL,2,NULL,10,3,2014-07-02 00:47:19
64,17,16,10,15,10,5,2014-07-02 03:16:43
65,17,16,10,15,10,6,2014-07-02 03:16:53
66,10,15,17,16,10,6,2014-07-02 03:17:05
67,19,26,17,16,10,5,2014-07-02 04:48:47
68,2,1,9,11,10,1,2014-07-02 05:32:49
69,1,NULL,2,NULL,10,2,2014-07-02 05:34:12
70,1,NULL,2,NULL,10,3,2014-07-02 05:34:36
71,1,NULL,2,NULL,10,7,2014-07-02 05:36:27
72,2,NULL,1,NULL,10,6,2014-07-02 05:36:46
73,19,27,17,16,10,8,2014-07-03 01:29:41
74,2,NULL,1,NULL,10,5,2014-07-23 05:34:56
75,23,1,2,24,10,9,2014-07-23 05:36:16
76,23,1,2,24,10,4,2014-07-23 05:36:41
77,17,16,28,15,10,5,2014-07-23 23:54:26
78,17,16,28,15,10,0,2014-07-23 23:54:37
79,6,1,13,5,10,6,2014-07-25 00:22:55
80,14,1,13,NULL,10,5,2014-07-25 00:56:55
81,1,NULL,29,NULL,10,5,2014-07-25 03:17:28
82,1,NULL,13,NULL,10,3,2014-07-25 03:34:10
83,1,NULL,13,NULL,10,0,2014-07-25 03:34:15
84,6,1,29,16,10,8,2014-07-25 04:41:12
85,29,5,6,16,10,9,2014-07-25 05:01:47
86,29,5,6,16,10,6,2014-07-25 05:01:56
87,17,16,28,15,10,5,2014-07-28 04:05:44
88,15,16,28,17,10,6,2014-07-28 04:06:04
89,2,1,6,5,10,8,2014-07-28 05:43:16
90,2,1,6,5,10,9,2014-07-28 05:43:39
91,27,15,17,16,10,0,2014-07-28 21:57:33
92,27,15,17,16,10,3,2014-07-28 21:57:47
93,1,NULL,2,NULL,10,7,2014-07-29 05:54:06
94,17,16,8,15,10,5,2014-07-30 00:29:31
95,17,16,8,15,10,3,2014-07-30 00:29:40
96,5,1,13,6,10,5,2014-07-30 05:27:06
97,17,16,10,15,10,4,2014-07-31 23:20:07
98,10,15,27,16,10,6,2014-07-31 23:20:30
99,13,1,12,21,10,9,2014-08-01 03:24:02
100,12,21,13,1,10,4,2014-08-01 03:24:37
101,12,21,13,1,10,7,2014-08-01 03:24:45
102,1,NULL,6,NULL,10,7,2014-08-01 03:56:32
103,19,27,29,17,10,4,2014-08-03 23:00:53
104,29,17,19,27,10,4,2014-08-03 23:01:00
105,29,17,19,27,10,5,2014-08-03 23:01:04
106,5,21,4,1,10,6,2014-08-04 04:40:35
107,4,1,5,21,10,8,2014-08-04 04:40:49
108,5,21,4,1,10,4,2014-08-04 04:41:35
109,1,NULL,13,NULL,10,5,2014-08-04 05:21:36
110,29,27,17,16,10,6,2014-08-04 23:40:52
111,13,11,1,NULL,10,8,2014-08-04 05:23:32
112,5,1,13,11,10,3,2014-08-04 05:24:13
113,29,27,17,16,10,3,2014-08-04 23:41:02
114,6,NULL,1,NULL,10,5,2014-08-05 02:12:04
115,5,1,4,20,10,3,2014-08-05 02:48:39
116,5,4,1,20,10,4,2014-08-05 02:49:06
117,4,1,5,20,10,9,2014-08-05 02:49:34
118,29,27,17,16,10,2,2014-08-05 04:07:55
119,29,27,17,16,10,9,2014-08-05 04:08:00
120,1,NULL,4,NULL,10,4,2014-08-05 05:37:37
121,1,NULL,4,NULL,10,7,2014-08-05 05:37:45
122,5,4,6,21,10,2,2014-08-05 06:03:53
123,6,21,5,4,10,6,2014-08-05 06:04:18
124,5,4,6,21,10,4,2014-08-05 06:04:32
125,13,NULL,1,NULL,10,8,2014-08-05 23:53:52
126,13,NULL,1,NULL,10,6,2014-08-05 23:53:58
127,27,17,28,16,10,5,2014-08-06 01:08:47
128,28,16,27,17,10,8,2014-08-06 01:08:57
129,27,17,28,16,10,2,2014-08-06 01:09:11
130,1,NULL,13,NULL,10,3,2014-08-06 01:55:33
131,30,1,13,22,10,8,2014-08-06 01:55:51
132,5,15,17,16,10,7,2014-08-06 04:52:37
133,17,16,5,15,10,7,2014-08-06 04:54:39
134,5,15,17,16,10,5,2014-08-06 04:55:12
